%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
750F ; [.4F08.0000.0007.750F] % Í¥
8255 ; [.4F09.0000.0007.8255] % ≈ê
8B17 ; [.4F0A.0000.0007.8B17] % ÷r
938A ; [.4F0B.0000.0007.938A] % Ê^
4F3B ; [.4F0C.0000.0007.4F3B] % Å»
794A ; [.4F0D.0000.0007.794A] % µp
5D29 ; [.4F0E.0000.0007.5D29] % ±¿
5F38 ; [.4F0F.0000.0007.5F38] % èã
7D63 ; [.4F10.0000.0007.7D63] % Ωl
958D ; [.4F11.0000.0007.958D] % Èa
5874 ; [.4F12.0000.0007.5874] % âl
7E43 ; [.4F13.0000.0007.7E43] % øá
752D ; [.4F14.0000.0007.752D] % ±¬
73A4 ; [.4F15.0000.0007.73A4] % ´g
57F2 ; [.4F16.0000.0007.57F2] % à»
83F6 ; [.4F17.0000.0007.83F6] % »E
742B ; [.4F18.0000.0007.742B] % ¨e
8A81 ; [.4F19.0000.0007.8A81] % ’@
6D34 ; [.4F1A.0000.0007.6D34] % õØ
8FF8 ; [.4F1B.0000.0007.8FF8] % ±≈
6412 ; [.4F1C.0000.0007.6412] % ìs
8DF0 ; [.4F1D.0000.0007.8DF0] % €M
8E66 ; [.4F1E.0000.0007.8E66] % ±ƒ
5C44 ; [.4F1F.0000.0007.5C44] % å¬
506A ; [.4F20.0000.0007.506A] % Çø
903C ; [.4F21.0000.0007.903C] % ±∆
7A2B ; [.4F22.0000.0007.7A2B] % ∑K
8C4D ; [.4F23.0000.0007.8C4D] % ÿP
9F3B ; [.4F24.0000.0007.9F3B] % ±«
5315 ; [.4F25.0000.0007.5315] % ÿ∞
6BD4 ; [.4F26.0000.0007.6BD4] % ±»
673C ; [.4F27.0000.0007.673C] % ña
59A3 ; [.4F28.0000.0007.59A3] % Â˛
6C98 ; [.4F29.0000.0007.6C98] % õa
7595 ; [.4F2A.0000.0007.7595] % ØH
5F7C ; [.4F2B.0000.0007.5F7C] % ±À
67C0 ; [.4F2C.0000.0007.67C0] % ñ©
79D5 ; [.4F2D.0000.0007.79D5] % Ôı
868D ; [.4F2E.0000.0007.868D] % Ú∑
7B46 ; [.4F2F.0000.0007.7B46] % πP
9119 ; [.4F30.0000.0007.9119] % ±…
6F77 ; [.4F31.0000.0007.6F77] % ùß
8C8F ; [.4F32.0000.0007.8C8F] % ÿÑ
5FC5 ; [.4F33.0000.0007.5FC5] % ±ÿ
4F56 ; [.4F34.0000.0007.4F56] % Åÿ
5752 ; [.4F35.0000.0007.5752] % àf
5E87 ; [.4F36.0000.0007.5E87] % ±”
8298 ; [.4F37.0000.0007.8298] % ‹≈
90B2 ; [.4F38.0000.0007.90B2] % ﬂõ
59BC ; [.4F39.0000.0007.59BC] % äå
602D ; [.4F3A.0000.0007.602D] % êP
7540 ; [.4F3B.0000.0007.7540] % ÓØ
82FE ; [.4F3C.0000.0007.82FE] % ∆É
67EB ; [.4F3D.0000.0007.67EB] % ñ¡
67F2 ; [.4F3E.0000.0007.67F2] % ñƒ
6BD6 ; [.4F3F.0000.0007.6BD6] % ±—
73CC ; [.4F40.0000.0007.73CC] % ´Å
75AA ; [.4F41.0000.0007.75AA] % ØR
965B ; [.4F42.0000.0007.965B] % ±›
72F4 ; [.4F43.0000.0007.72F4] % ·˘
7562 ; [.4F44.0000.0007.7562] % ÆÖ
7C8A ; [.4F45.0000.0007.7C8A] % ªÅ
5A62 ; [.4F46.0000.0007.5A62] % Êæ
5EB3 ; [.4F47.0000.0007.5EB3] % ‚ÿ
655D ; [.4F48.0000.0007.655D] % ±÷
6890 ; [.4F49.0000.0007.6890] % óa
9589 ; [.4F4A.0000.0007.9589] % È]
581B ; [.4F4B.0000.0007.581B] % à„
5F3C ; [.4F4C.0000.0007.5F3C] % Âˆ
610A ; [.4F4D.0000.0007.610A] % êœ
610E ; [.4F4E.0000.0007.610E] % „π
6E62 ; [.4F4F.0000.0007.6E62] % ú†
7695 ; [.4F50.0000.0007.7695] % ∞z
8A56 ; [.4F51.0000.0007.8A56] % ‘v
55F6 ; [.4F52.0000.0007.55F6] % ÜÙ
5F43 ; [.4F53.0000.0007.5F43] % èí
6945 ; [.4F54.0000.0007.6945] % óÈ
6EED ; [.4F55.0000.0007.6EED] % ú¸
75F9 ; [.4F56.0000.0007.75F9] % ±‘
75FA ; [.4F57.0000.0007.75FA] % Øw
7765 ; [.4F58.0000.0007.7765] % Ó¢
8177 ; [.4F59.0000.0007.8177] % ƒb
84D6 ; [.4F5A.0000.0007.84D6] % ±Õ
84FD ; [.4F5B.0000.0007.84FD] % …ú
870C ; [.4F5C.0000.0007.870C] % Õö
8F9F ; [.4F5D.0000.0007.8F9F] % ±Ÿ
924D ; [.4F5E.0000.0007.924D] % „G
959F ; [.4F5F.0000.0007.959F] % Ès
98F6 ; [.4F60.0000.0007.98F6] % Ôè
5AF3 ; [.4F61.0000.0007.5AF3] % ã±
5E63 ; [.4F62.0000.0007.5E63] % é≈
5F0A ; [.4F63.0000.0007.5F0A] % ±◊
719A ; [.4F64.0000.0007.719A] % üŒ
7359 ; [.4F65.0000.0007.7359] % ™å
78A7 ; [.4F66.0000.0007.78A7] % ±Ã
7B84 ; [.4F67.0000.0007.7B84] % πu
7B85 ; [.4F68.0000.0007.7B85] % ÛÎ
853D ; [.4F69.0000.0007.853D] % ±Œ
912A ; [.4F6A.0000.0007.912A] % ‡ä
999D ; [.4F6B.0000.0007.999D] % ÒE
9AB3 ; [.4F6C.0000.0007.9AB3] % Ûc
7358 ; [.4F6D.0000.0007.7358] % ™ã
7F7C ; [.4F6E.0000.0007.7F7C] % ¡X
99DC ; [.4F6F.0000.0007.99DC] % ÒÉ
58C1 ; [.4F70.0000.0007.58C1] % ±⁄
5B16 ; [.4F71.0000.0007.5B16] % Ê‘
5EE6 ; [.4F72.0000.0007.5EE6] % èY
7BE6 ; [.4F73.0000.0007.7BE6] % Û˜
7BF3 ; [.4F74.0000.0007.7BF3] % ∫`
89F1 ; [.4F75.0000.0007.89F1] % ”v
907F ; [.4F76.0000.0007.907F] % ±‹
9B85 ; [.4F77.0000.0007.9B85] % ıI
6583 ; [.4F78.0000.0007.6583] % î¿
8E55 ; [.4F79.0000.0007.8E55] % €ã
9AC0 ; [.4F7A.0000.0007.9AC0] % ˜¬
74A7 ; [.4F7B.0000.0007.74A7] % Ëµ
9128 ; [.4F7C.0000.0007.9128] % ‡à
939E ; [.4F7D.0000.0007.939E] % Êq
9D56 ; [.4F7E.0000.0007.9D56] % ˘S
