%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
672C ; [.4F3A.0000.0007.672C] % ±æ
672D ; [.4F3B.0000.0007.672D] % ‘˝
672E ; [.4F3C.0000.0007.672E] % ñX
6B63 ; [.4F3D.0000.0007.6B63] % ’˝
6BCD ; [.4F3E.0000.0007.6BCD] % ƒ∏
6C10 ; [.4F3F.0000.0007.6C10] % ÿµ
6C11 ; [.4F40.0000.0007.6C11] % √Ò
6C15 ; [.4F41.0000.0007.6C15] % Î≠
6C36 ; [.4F42.0000.0007.6C36] % öÈ
6C38 ; [.4F43.0000.0007.6C38] % ”¿
6C3B ; [.4F44.0000.0007.6C3B] % öÌ
6C3E ; [.4F45.0000.0007.6C3E] % öÔ
6C3F ; [.4F46.0000.0007.6C3F] % ö
6C40 ; [.4F47.0000.0007.6C40] % Õ°
6C41 ; [.4F48.0000.0007.6C41] % ÷≠
6C43 ; [.4F49.0000.0007.6C43] % öÒ
72AE ; [.4F4A.0000.0007.72AE] % †„
72AF ; [.4F4B.0000.0007.72AF] % ∑∏
72B0 ; [.4F4C.0000.0007.72B0] % ·Ï
7384 ; [.4F4D.0000.0007.7384] % –˛
7389 ; [.4F4E.0000.0007.7389] % ”Ò
738A ; [.4F4F.0000.0007.738A] % ´T
74DC ; [.4F50.0000.0007.74DC] % πœ
7518 ; [.4F51.0000.0007.7518] % ∏ 
751F ; [.4F52.0000.0007.751F] % …˙
7528 ; [.4F53.0000.0007.7528] % ”√
7529 ; [.4F54.0000.0007.7529] % À¶
7530 ; [.4F55.0000.0007.7530] % ÃÔ
7531 ; [.4F56.0000.0007.7531] % ”…
7532 ; [.4F57.0000.0007.7532] % º◊
7533 ; [.4F58.0000.0007.7533] % …Í
758B ; [.4F59.0000.0007.758B] % Ò‚
767D ; [.4F5A.0000.0007.767D] % ∞◊
76AE ; [.4F5B.0000.0007.76AE] % ∆§
76BF ; [.4F5C.0000.0007.76BF] % √Û
76EE ; [.4F5D.0000.0007.76EE] % ƒø
77DB ; [.4F5E.0000.0007.77DB] % √¨
77E2 ; [.4F5F.0000.0007.77E2] %  ∏
77F3 ; [.4F60.0000.0007.77F3] %  Ø
793A ; [.4F61.0000.0007.793A] %  æ
79BE ; [.4F62.0000.0007.79BE] % ∫Ã
7A74 ; [.4F63.0000.0007.7A74] % —®
7ACB ; [.4F64.0000.0007.7ACB] % ¡¢
808A ; [.4F65.0000.0007.808A] % √E
827C ; [.4F66.0000.0007.827C] % ∆J
827D ; [.4F67.0000.0007.827D] % ‹¥
827E ; [.4F68.0000.0007.827E] % ∞¨
827F ; [.4F69.0000.0007.827F] % ‹µ
8280 ; [.4F6A.0000.0007.8280] % ∆K
9094 ; [.4F6B.0000.0007.9094] % ﬂå
9097 ; [.4F6C.0000.0007.9097] % ⁄ı
9098 ; [.4F6D.0000.0007.9098] % ﬂé
9099 ; [.4F6E.0000.0007.9099] % ⁄¯
909B ; [.4F6F.0000.0007.909B] % ⁄ˆ
9620 ; [.4F70.0000.0007.9620] % Íc
9621 ; [.4F71.0000.0007.9621] % ⁄‰
9622 ; [.4F72.0000.0007.9622] % ⁄„
9623 ; [.4F73.0000.0007.9623] % Íd
9624 ; [.4F74.0000.0007.9624] % Íe
4E1E ; [.4F75.0000.0007.4E1E] % ÿ©
